Id,Label,weight
.NET,.NET,41
.NET Core,.NET Core,24
AI,AI,1
Android,Android,93
Angular,Angular,47
Arduino,Arduino,28
Asana,Asana,1
ASP.NET,ASP.NET,27
AWS,AWS,39
Bash shell script,Bash shell script,1
Blockchain,Blockchain,1
C,C,36
C#,C#,40
C++,C++,56
Deno.js,Deno.js,4
Django,Django,55
Docker,Docker,37
Elixir,Elixir,1
Express,Express,71
Facebook Workplace,Facebook Workplace,16
FastAPI,FastAPI,1
Firebase,Firebase,1
Flask,Flask,5
Flutter,Flutter,63
GitHub,GitHub,220
GitLab,GitLab,71
Golang,Golang,9
Google Cloud Platform,Google Cloud Platform,51
"Google Suite (Docs, Meet, etc)","Google Suite (Docs, Meet, etc)",98
Haskell,Haskell,1
Heroku,Heroku,75
HTML/CSS,HTML/CSS,188
IBM Cloud or Watson,IBM Cloud or Watson,21
Internet-of-Things,Internet-of-Things,1
iOS,iOS,16
Java,Java,84
JavaScript,JavaScript,167
Jira,Jira,44
jQuery,jQuery,79
Kotlin,Kotlin,19
Laravel,Laravel,58
Linux,Linux,81
Lua,Lua,2
MacOS,MacOS,35
MATLAB,MATLAB,1
Microsoft Azure,Microsoft Azure,27
Microsoft Azure2,Microsoft Azure2,30
Microsoft Teams,Microsoft Teams,74
ML/AI,ML/AI,1
Node.js,Node.js,103
Ocaml,Ocaml,2
PHP,PHP,96
Puppet,Puppet,2
Python,Python,137
Qt,Qt,1
R,R,2
Raspberry Pi,Raspberry Pi,18
React Native,React Native,47
React.js,React.js,101
Ruby,Ruby,14
Ruby on Rails,Ruby on Rails,13
Rust,Rust,2
Sails.js,Sails.js,1
Scala,Scala,1
Sckit-learn,Sckit-learn,1
Selenium,Selenium,1
Slack,Slack,158
Solidity,Solidity,1
Spring,Spring,18
SQL,SQL,121
Stack Overflow for Teams,Stack Overflow for Teams,45
Swift,Swift,8
Trello,Trello,107
TypeScript,TypeScript,48
Unity,Unity,1
Unity3D,Unity3D,1
Vue.js,Vue.js,44
Windows,Windows,129
WordPress,WordPress,98
XD,XD,1
