ID,start_time,completion_time,profession_1,hobby_coding_2,employment_3,region_4,city_5,age_range_6,new_tool_7,survey_duration
6,2020-10-15T09:13:45Z,2020-10-15T09:24:31Z,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",20 - 25,Once a year,646
7,2020-10-15T09:16:07Z,2020-10-15T09:25:39Z,"I used to be a developer by profession, but no longer am",No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,Every few months,572
8,2020-10-15T09:20:53Z,2020-10-15T09:29:42Z,I am a developer by profession,Yes,Employed part-time,Greater Accra Region,"kutunse, Ghana",20 - 25,,529
9,2020-10-15T09:12:06Z,2020-10-15T09:30:56Z,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"tema, Ghana",20 - 25,Once a year,1130
10,2020-10-15T09:23:29Z,2020-10-15T09:33:27Z,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,598
11,2020-10-15T09:24:23Z,2020-10-15T09:39:03Z,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"Dansoman, Ghana",20 - 25,Once every few years,880
12,2020-10-15T09:36:07Z,2020-10-15T09:53:37Z,I code primarily as a hobby,Yes,Employed full-time,Ashanti Region,"Kumasi, Ghana",31 - 35,Once every few years,1050
13,2020-10-15T09:40:11Z,2020-10-15T10:06:09Z,None of these,Yes,"Not employed, but looking for work","Central Region, Ghana","Twifo praso, Ghana",26 - 30,,1558
14,2020-10-15T10:48:55Z,2020-10-15T10:56:47Z,I code primarily as a hobby,Yes,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",20 - 25,Once a year,472
15,2020-10-15T10:33:42Z,2020-10-15T11:09:07Z,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Madina, Ghana",31 - 35,,2125
16,2020-10-15T11:30:53Z,2020-10-15T11:34:58Z,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"Weija, Oblogo, Ghana",26 - 30,,245
17,2020-10-15T11:48:00Z,2020-10-15T12:02:49Z,I am a student who is learning to code,Yes,Student,Volta Region,"Ho, Ghana",20 - 25,Every few months,889
18,2020-10-15T13:18:52Z,2020-10-15T13:19:28Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,36
19,2020-10-15T13:34:39Z,2020-10-15T13:50:27Z,I am a developer by profession,No,"Not employed, but looking for work",Greater Accra Region,"adenta, Ghana",20 - 25,Once a year,948
20,2020-10-15T14:13:36Z,2020-10-15T14:16:58Z,I code primarily as a hobby,Yes,Student,Greater Accra Region,"Dzorwulu, Ghana",20 - 25,,202
21,2020-10-15T14:22:48Z,2020-10-15T14:47:38Z,I am a student who is learning to code,Yes,Student,Ashanti Region,"Tafo, Kumasi, Ghana",20 - 25,Once every few years,1490
22,2020-10-15T14:43:00Z,2020-10-15T14:58:20Z,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"North Legon ( Haatso ), Ghana",20 - 25,This varies depending on work and projects,920
23,2020-10-15T14:50:49Z,2020-10-15T15:03:48Z,None of these,No,Employed full-time,"Central Region, Ghana","kasoa, Ghana",20 - 25,Other,779
