"","company_size_23","prim_opsyst_14","rather_opsyst_15","purch_influence_16","solution_research_17","highest_edu_18","prim_study_19","edu_importance_20","change_edu_21","job_satisfaction_22","other_technology_13","ID"
"1","Below 10","Windows",NA,"I have a great deal of influence","Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;Start a free trial;","Bachelor","Information_Technology","Very important","more practical work","Neither satisfied nor dissatisfied",NA,6
"2","1","Windows",NA,"I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Master","Computer_Science_Engineering","Fairly important","Tech entrepreneurship should be a course to understand the business of tech.","Very dissatisfied",NA,7
"3","Below 100","MacOS",NA,"I have little or no influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Fairly important",NA,"Very dissatisfied",NA,8
"4","Below 20","MacOS",NA,"I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important","Will advocate for modern trends to be taught","Slightly satisfied",NA,9
"5",NA,"Windows",NA,"I have little or no influence","Start a free trial;","Master",NA,NA,NA,NA,NA,10
"6","Below 20","Windows",NA,"I have little or no influence","Start a free trial;",NA,"Computer_Science_Engineering","Not at all important/not necessary","change my school","Very dissatisfied",NA,11
"7","Below 100","Windows",NA,"I have little or no influence","Start a free trial;Ask developers I know/work with;",NA,NA,NA,NA,NA,NA,12
"8","1","BSD",NA,"I have some influence","Ask developers I know/work with;","Teacher_Diploma","Education","Very important",NA,"Very dissatisfied",NA,13
"9","1","Windows",NA,"I have little or no influence","Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;","Secondary_High_School","Visual_Arts","Somewhat important","Nothing","Neither satisfied nor dissatisfied",NA,14
"10","Below 100","Windows",NA,"I have little or no influence","Ask developers I know/work with;",NA,NA,NA,NA,"Very satisfied",NA,15
"11","NA","Linux-based",NA,"I have little or no influence","Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Read a documentary of that software ;","Higher_National_Diploma","Computer_Science_Engineering","Fairly important","Nothing","Very satisfied",NA,16
"12",NA,"Linux-based","Linux-based",NA,"Start a free trial;",NA,NA,NA,NA,NA,"Golang - both",17
"13","Below 10","Linux-based","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Fairly important","I'll do electronic and electrical engineering instead of computer science","Very satisfied",NA,18
"14","Below 10","Windows","Linux-based","I have a great deal of influence","Ask developers I know/work with;Start a free trial;","Secondary_High_School","Business","Somewhat important","Would do computer engineering","Slightly dissatisfied",NA,19
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"16",NA,"Windows","Windows","I have little or no influence","Visit developer communities like Stack Overflow;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Secondary_High_School","Mathematics_Statistics","Very important","I would change my programme of study to computer science, or software engineering.","Slightly satisfied",NA,21
"17","Below 100","MacOS","MacOS","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Secondary_High_School","Agricultural_Science","Not at all important/not necessary",NA,"Neither satisfied nor dissatisfied",NA,22
"18","Below 10",NA,NA,NA,"Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Secondary_High_School",NA,"Very important",NA,"Slightly satisfied",NA,23
"19","1","Windows","Linux-based","I have some influence","Ask developers I know/work with;","Secondary_High_School","Physics","Fairly important","I would study Computer Science","Neither satisfied nor dissatisfied",NA,24
"20",NA,"Windows","Windows","I have some influence","Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;","Secondary_High_School","Other_Engineering","Somewhat important","Nothing",NA,NA,25
"21",NA,"Windows","Linux-based","I have some influence","Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;","Bachelor","Computer_Science_Engineering","Very important",NA,NA,NA,26
"22","Below 20","Windows","Linux-based","I have little or no influence","Visit developer communities like Stack Overflow;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Critically important","Nothing","Very dissatisfied",NA,27
"23","Below 10","Windows","Linux-based","I have some influence","Ask developers I know/work with;Start a free trial;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Computer_Science_Engineering","Very important","Nothing","Slightly satisfied",NA,28
"24","Below 100","Windows","Linux-based","I have a great deal of influence","Start a free trial;Ask developers I know/work with;","Bachelor","Computer_Science_Engineering","Very important",NA,"Very satisfied",NA,29
"25","Below 20","MacOS","MacOS","I have some influence","Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;","Bachelor","Information_Technology","Somewhat important","Nothing","Very dissatisfied","Golang - both",30
