ID,start_time,completion_time,survey_duration,profession_1,hobby_coding_2,employment_3,region_4,city_5,age_range_6,new_tool_7,prim_opsyst_14,rather_opsyst_15,purch_influence_16,solution_research_17,highest_edu_18,prim_study_19,edu_importance_20,change_edu_21,job_satisfaction_22,company_size_23,weekly_work_hours_24,overtime_work_25,company_onboarding_process_26,improve_onboarding_27,monthly_salary_28,job_status_29,drivers_for_new_jobs_30,how_learn_about_company_31,dev_community_member_32,which_dev_community_33,age_optional_34,gender_35,transgender_36,sexual_orientation_37,ethnicity_38,disabilitys_39,mental_illness_40,dependents_41,survey_length_42,survey_difficulty_43,final_thoughts_44
6,2020-10-15T09:13:45Z,2020-10-15T09:24:31Z,646,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",20 - 25,Once a year,Windows,,I have a great deal of influence,Read ratings or reviews on third party siteslike G2Crowd;Visit developer communities like Stack Overflow;Start a free trial;,Bachelor,Information_Technology,Very important,more practical work,Neither satisfied nor dissatisfied,Below 10,30,Often: 1-2 days per week,No,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;Better compensation;Better work/life balance;Wanting to improve your skills;,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read company media, such as employees blogs or company culture videos;",Yes,Flutter Ghana;Laravel Developers Ghana;Ghana Developers Group;Andela Learning Community;UI/UX Ghana,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Easy,
7,2020-10-15T09:16:07Z,2020-10-15T09:25:39Z,572,"I used to be a developer by profession, but no longer am",No,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"accra, Ghana",26 - 30,Every few months,Windows,,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;,Master,Computer_Science_Engineering,Fairly important,Tech entrepreneurship should be a course to understand the business of tech.,Very dissatisfied,1,20,Frequently: 3 or more days per week,No,,"Less than GHS 1,500",I am actively looking for a job,Curious about other opportunities;,"Read company media, such as employees blogs or company culture videos;",No,,27,Man,No,Prefer not to say,Black or of African descent,I prefer not to answer;,I prefer not to answer;,I prefer not to say,Too long,Easy,
8,2020-10-15T09:20:53Z,2020-10-15T09:29:42Z,529,I am a developer by profession,Yes,Employed part-time,Greater Accra Region,"kutunse, Ghana",20 - 25,,MacOS,,I have little or no influence,Start a free trial;Ask developers I know/work with;,Bachelor,Computer_Science_Engineering,Fairly important,,Very dissatisfied,Below 100,40,Rarely: 1-2 days per year or less,No,"set up a tutorial on the stack being used, architecture and how the development cycle goes","Less than GHS 1,500",I am actively looking for a job,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;",Yes,DevCongress;js space,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Easy,
9,2020-10-15T09:12:06Z,2020-10-15T09:30:56Z,1130,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"tema, Ghana",20 - 25,Once a year,MacOS,,I have little or no influence,Read ratings or reviews on third party siteslike G2Crowd;Ask developers I know/work with;Start a free trial;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Very important,Will advocate for modern trends to be taught,Slightly satisfied,Below 20,40,Sometimes: 1-2 days per month but less than weekly,Yes,,"GHS 2,000 - GHS 2,500","I'm not actively looking, but I am open to new opportunities",Wanting to improve your skills;Wanting to work with new technologies;Better work/life balance;Better compensation;Curious about other opportunities;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;",Yes,Python Ghana;DevCongress,25,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Appropriate in length,Neither easy nor difficult,
10,2020-10-15T09:23:29Z,2020-10-15T09:33:27Z,598,I am a student who is learning to code,Yes,Student,Greater Accra Region,"accra, Ghana",20 - 25,Every few months,Windows,,I have little or no influence,Start a free trial;,Master,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",,,Yes,,22,Man,,Straight / Heterosexual,,,,No,Appropriate in length,Easy,
11,2020-10-15T09:24:23Z,2020-10-15T09:39:03Z,880,I am a developer by profession,Yes,"Not employed, but looking for work",Greater Accra Region,"Dansoman, Ghana",20 - 25,Once every few years,Windows,,I have little or no influence,Start a free trial;,,Computer_Science_Engineering,Not at all important/not necessary,change my school,Very dissatisfied,Below 20,10,Frequently: 3 or more days per week,No,,"Less than GHS 1,500",I am actively looking for a job,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,,24,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,Yes,Too long,Easy,
12,2020-10-15T09:36:07Z,2020-10-15T09:53:37Z,1050,I code primarily as a hobby,Yes,Employed full-time,Ashanti Region,"Kumasi, Ghana",31 - 35,Once every few years,Windows,,I have little or no influence,Start a free trial;Ask developers I know/work with;,,,,,,Below 100,8,Rarely: 1-2 days per year or less,No,,"GHS 1,500 - GHS 2,000",I am not interested in new job oportunities,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Wanting to improve your skills;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,PyLadies Ghana,35,Woman,No,Straight / Heterosexual,Black or of African descent,I am deaf / hard of hearing;,None of the above;,Yes,Too long,Neither easy nor difficult,
13,2020-10-15T09:40:11Z,2020-10-15T10:06:09Z,1558,None of these,Yes,"Not employed, but looking for work","Central Region, Ghana","Twifo praso, Ghana",26 - 30,,BSD,,I have some influence,Ask developers I know/work with;,Teacher_Diploma,Education,Very important,,Very dissatisfied,1,12,Never,No,to employee more workers,"Less than GHS 1,500",I am actively looking for a job,Wanting to improve your skills;,Personal network - friends or family;,No,,,Man,Yes,,Black or of African descent,None of the above;,,I prefer not to say,Too long,Easy,
14,2020-10-15T10:48:55Z,2020-10-15T10:56:47Z,472,I code primarily as a hobby,Yes,"Not employed, but looking for work",Greater Accra Region,"accra, Ghana",20 - 25,Once a year,Windows,,I have little or no influence,Read ratings or reviews on third party siteslike G2Crowd;Start a free trial;,Secondary_High_School,Visual_Arts,Somewhat important,Nothing,Neither satisfied nor dissatisfied,1,42,Occasionally: 1-2 days per quarter but less than monthly,,,"Less than GHS 1,500",I am actively looking for a job,Wanting to improve your skills;Wanting to share accomplishments with a wider network;Better compensation;,"Read company media, such as employees blogs or company culture videos;",Yes,Ghana Game Developers,,Man,No,Straight / Heterosexual,Black or of African descent,,,,Appropriate in length,Neither easy nor difficult,
15,2020-10-15T10:33:42Z,2020-10-15T11:09:07Z,2125,I am a developer by profession,No,Employed full-time,Greater Accra Region,"Madina, Ghana",31 - 35,,Windows,,I have little or no influence,Ask developers I know/work with;,,,,,Very satisfied,Below 100,30,Frequently: 3 or more days per week,Yes,,"Less than GHS 1,500","I'm not actively looking, but I am open to new opportunities",Curious about other opportunities;,"Read company media, such as employees blogs or company culture videos;",Yes,Hacklab Foundation,,Man,No,,,None of the above;,None of the above;,Yes,Too long,Neither easy nor difficult,
16,2020-10-15T11:30:53Z,2020-10-15T11:34:58Z,245,I am a developer by profession,Yes,"Independent contractor, freelancer, or self-employed",Greater Accra Region,"Weija, Oblogo, Ghana",26 - 30,,Linux-based,,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party siteslike G2Crowd;Read a documentary of that software ;,Higher_National_Diploma,Computer_Science_Engineering,Fairly important,Nothing,Very satisfied,NA,5,Frequently: 3 or more days per week,Yes,By applying more practical tests for the individual,"GHS 3,000 - GHS 3,500","I'm not actively looking, but I am open to new opportunities",Wanting to share accomplishments with a wider network;Curious about other opportunities;A Fulltime / Stable Employment ;,"Read company media, such as employees blogs or company culture videos;Personal network - friends or family;Publicly available financial information (e.g. Crunchbase);",Yes,Kodex World(online whatsapp);Facebook Developer Circle,28,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Neither easy nor difficult,"No, but this survey was great. I kinda made me feel i have a lot to go for. Thank you for this survey."
17,2020-10-15T11:48:00Z,2020-10-15T12:02:49Z,889,I am a student who is learning to code,Yes,Student,Volta Region,"Ho, Ghana",20 - 25,Every few months,Linux-based,Linux-based,,Start a free trial;,,,,,,,,,,,,I am actively looking for a job,Wanting to improve your skills;Wanting to share accomplishments with a wider network;Curious about other opportunities;Wanting to work with new technologies;,,No,Google Developer Group;Developer Student Club - KNUST,20,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,I have a concentration and/or memory disorder (e.g. ADHD);,No,Appropriate in length,Easy,
18,2020-10-15T13:18:52Z,2020-10-15T13:19:28Z,36,I am a developer by profession,Yes,Employed full-time,Greater Accra Region,"accra, Ghana",26 - 30,Once a year,Linux-based,MacOS,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;,Bachelor,Computer_Science_Engineering,Fairly important,I'll do electronic and electrical engineering instead of computer science,Very satisfied,Below 10,60,Sometimes: 1-2 days per month but less than weekly,Yes,Could have someone to take me through the code instead of having to understand it myself,"GHS 4,000 - GHS 5,000","I'm not actively looking, but I am open to new opportunities",Wanting to improve your skills;Wanting to work with new technologies;Better compensation;Curious about other opportunities;Wanting to share accomplishments with a wider network;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);",Yes,DevCongress,,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Too long,Neither easy nor difficult,
19,2020-10-15T13:34:39Z,2020-10-15T13:50:27Z,948,I am a developer by profession,No,"Not employed, but looking for work",Greater Accra Region,"adenta, Ghana",20 - 25,Once a year,Windows,Linux-based,I have a great deal of influence,Ask developers I know/work with;Start a free trial;,Secondary_High_School,Business,Somewhat important,Would do computer engineering,Slightly dissatisfied,Below 10,50,Frequently: 3 or more days per week,Yes,,"GHS 1,500 - GHS 2,000",I am actively looking for a job,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to improve your skills;,"Personal network - friends or family;Read company media, such as employees blogs or company culture videos;",Yes,Facebook Developer Circle;Google Developer Group,23,Man,No,Straight / Heterosexual,Black or of African descent,None of the above;,None of the above;,No,Appropriate in length,Difficult,
20,2020-10-15T14:13:36Z,2020-10-15T14:16:58Z,202,I code primarily as a hobby,Yes,Student,Greater Accra Region,"Dzorwulu, Ghana",20 - 25,,,,,,,,,,,,,,,,"GHS 10,000 - GHS 15,000","I'm not actively looking, but I am open to new opportunities",,,,,,Man,,,,,,,,,
