ID,tool,level
6,C,
6,C#,
6,C++,
6,HTML/CSS,Worked with in PAST year
6,Java,
6,JavaScript,Worked with in PAST year
6,Kotlin,
6,PHP,Worked with in PAST year
6,Python,
6,Ruby,
6,SQL,
6,Swift,
6,TypeScript,
6,Android,Want to work with NEXT year
6,Arduino,
6,AWS,
6,Docker,
6,Google Cloud Platform,Worked with in PAST year
6,Heroku,
6,IBM Cloud or Watson,
6,iOS,Want to work with NEXT year
6,Linux,
6,MacOS,
6,Microsoft Azure,
6,Raspberry Pi,
6,Windows,Worked with in PAST year
6,WordPress,Worked with in PAST year
6,Angular,
6,ASP.NET,
6,Django,
6,Express,
6,jQuery,Worked with in PAST year
6,Laravel,Want to work with NEXT year
6,React.js,
6,Ruby on Rails,
6,Vue.js,Want to work with NEXT year
6,Spring,
6,.NET,
6,.NET Core,
6,Flutter,Want to work with NEXT year
6,Node.js,Want to work with NEXT year
6,Puppet,
6,React Native,
6,Deno.js,
6,GitHub,Worked with in PAST year
6,GitLab,
6,Facebook Workplace,
6,Slack,Worked with in PAST year
6,Microsoft Teams,
6,Microsoft Azure2,
6,Trello,Worked with in PAST year
6,"Google Suite (Docs, Meet, etc)",Worked with in PAST year
6,Stack Overflow for Teams,
6,Jira,
7,C,
7,C#,
7,C++,
7,HTML/CSS,Worked with in PAST year
7,Java,Worked with in PAST year
7,JavaScript,Worked with in PAST year
7,Kotlin,Worked with in PAST year
7,PHP,Worked with in PAST year
7,Python,Worked with in PAST year
7,Ruby,
7,SQL,
7,Swift,
7,TypeScript,
7,Android,Worked with in PAST year
7,Arduino,
7,AWS,
7,Docker,
7,Google Cloud Platform,
7,Heroku,
7,IBM Cloud or Watson,
7,iOS,
7,Linux,
7,MacOS,
7,Microsoft Azure,
7,Raspberry Pi,
7,Windows,
7,WordPress,
7,Angular,
7,ASP.NET,
7,Django,
7,Express,
7,jQuery,
7,Laravel,
7,React.js,
7,Ruby on Rails,
7,Vue.js,
7,Spring,
7,.NET,
7,.NET Core,
7,Flutter,Want to work with NEXT year
7,Node.js,Want to work with NEXT year
7,Puppet,
7,React Native,
7,Deno.js,
7,GitHub,Worked with in PAST year
7,GitLab,
7,Facebook Workplace,
7,Slack,Worked with in PAST year
7,Microsoft Teams,
